Time (s);Horizontal Wave Bending Moment (N.m);Vertical Wave Bending Moment (N.m);Torsional Wave Bending Moment  (N.m)
57.3;-4611.85595703125;-2433937.5;-2703.8525390625
57.4;-4779.62353515625;-2392828;-2167.564453125
57.5;-4958.94287109375;-2327009.5;-1347.9404296875
57.6;-5076.52099609375;-2257197;-323.51708984375
57.7;-5152.6591796875;-2200631;795.901672363281
57.8;-5077.1826171875;-2168190.5;1884.4873046875
57.9;-5002.5869140625;-2163358.5;2815.576171875
58;-4920.16015625;-2181499.5;3482.341796875
58.1;-4697.12109375;-2211823;3813.3740234375
58.2;-4385.5859375;-2238701.5;3779.958984375
58.3;-4063.2509765625;-2245373.5;3400.298828125
58.4;-3690.13525390625;-2216320;2735.06689453125
58.5;-3351.43115234375;-2140574.5;1874.62390136719
58.6;-3000.63427734375;-2012804.75;924.395141601563
58.7;-2674.916015625;-1833970.5;-13.7005615234375
58.8;-2396.26220703125;-1610645.5;-856.138427734375
58.9;-2153.0283203125;-1353019.5;-1548.1943359375
59;-1913.05590820313;-1072602.5;-2068.52001953125
59.1;-1683.55737304688;-779708.625;-2426.79833984375
59.2;-1454.55773925781;-481542.5;-2654.623046875
59.3;-1222.67663574219;-181139.5625;-2793.33374023438
59.4;-992.163696289063;122561.1875;-2880.58227539063
59.5;-767.076416015625;433468.6875;-2938.73999023438
59.6;-558.587524414063;756345.875;-2968.45874023438
59.7;-376.577392578125;1094308;-2947.59375
59.8;-226.721801757813;1446593;-2836.93408203125
59.9;-111.349853515625;1806950;-2590.61962890625
60;-22.970458984375;2163096;-2169.55688476563
60.1;55.86474609375;2497537.5;-1554.3642578125
60.2;147.065185546875;2789469.5;-755.467407226563
60.3;285.13525390625;3017684;182.62548828125
60.4;497.44140625;3163609.5;1183.62451171875
60.5;778.206787109375;3214308.5;2148.39453125
60.6;1157.48168945313;3164690;2969.8994140625
60.7;1653.00439453125;3018711;3548.490234375
60.8;2229.57690429688;2788300;3810.544921875
60.9;2880.46704101563;2492050;3720.4580078125
61;3575.20458984375;2152454;3286.28466796875
61.1;4280.6376953125;1792598.75;2561.5859375
61.2;4964.5126953125;1433005.75;1636.1103515625
61.3;5605.6318359375;1089160.5;622.737060546875
61.4;6166.62109375;770089;-359.774658203125
61.5;6632.384765625;478153.875;-1203.54418945313
61.6;7020.39599609375;209986.25;-1826.15283203125
61.7;7319.291015625;-41505.5859375;-2180.16455078125
61.8;7538.65283203125;-284750.4375;-2255.86694335938
61.9;7687.5849609375;-527257.625;-2077.748046875
62;7774.7783203125;-773698.5;-1695.68408203125
62.1;7808.501953125;-1024986.5;-1173.24438476563
62.2;7788.9765625;-1278240.25;-575.5068359375
62.3;7706.5087890625;-1527723.5;40.527099609375
62.4;7569.77978515625;-1766261.75;634.5166015625
62.5;7376.9033203125;-1986942.5;1179.60131835938
62.6;7113.28076171875;-2184593.5;1663.79931640625
62.7;6789.67822265625;-2356516.5;2079.8486328125
62.8;6409.23486328125;-2502507;2420.13500976563
62.9;5978.41015625;-2623942;2669.318359375
63;5495.01953125;-2722358;2802.49267578125
63.1;4983.328125;-2797601.5;2785.41967773438
63.2;4470.4228515625;-2846298;2581.55712890625
63.3;3921.41772460938;-2861149.5;2160.06225585938
63.4;3370.0400390625;-2830420.5;1507.73120117188
63.5;2732.28833007813;-2739785;637.149658203125
63.6;2057.50830078125;-2574095;-405.891357421875
63.7;1301.130859375;-2320075.5;-1543.74267578125
63.8;461.43359375;-1969432;-2672.15673828125
63.9;-482.648559570313;-1521272.75;-3672.99755859375
64;-1524.19873046875;-983725.5;-4430.08544921875
