Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
267;-6280.89599609375;-16347296;-77.49560546875
267.5;-9290.357421875;-13392424;-517.373779296875
268;-11007.92578125;-9125569;-959.448486328125
268.5;-11197.939453125;-4059787;-1424.33605957031
269;-9815.953125;1105372.75;-1878.72607421875
269.5;-7020.2646484375;5597149;-2233.41284179688
270;-3168.25537109375;8729124;-2372.17041015625
270.5;1218.52270507813;10076930;-2199.52978515625
271;5513.111328125;9592928;-1687.32446289063
271.5;9073.130859375;7628497;-900.2294921875
272;11357.4677734375;4835680;9.0784912109375
272.5;11995.2724609375;1978485.5;836.321960449219
273;10871.4267578125;-291149.25;1383.46801757813
273.5;8153.89306640625;-1618214;1523.01098632813
274;4261.8779296875;-2027229;1245.90698242188
274.5;-209.124267578125;-1878680.75;674.969299316406
275;-4588.3134765625;-1711706.5;31.2353744506836
275.5;-8258.830078125;-2031802;-441.426879882813
276;-10739.8779296875;-3116790;-565.020324707031
276.5;-11750.3525390625;-4906278;-296.653442382813
277;-11241.9140625;-7006913;254.110473632813
277.5;-9356.275390625;-8808542;865.776489257813
278;-6388.72412109375;-9665402;1287.05029296875
278.5;-2726.74731445313;-9080490;1326.80725097656
279;1200.56323242188;-6836680;916.326049804688
279.5;4967.72119140625;-3043679;126.0439453125
280;8181.8447265625;1901132.875;-866.297485351563
280.5;10510.5;7403784;-1834.32299804688
281;11703.326171875;12786340;-2570.00317382813
281.5;11621.4658203125;17379262;-2930.53076171875
282;10251.7646484375;20589812;-2858.83837890625
282.5;7725.48876953125;21939944;-2372.16528320313
283;4313.63330078125;21107156;-1538.07873535156
283.5;386.31201171875;17968996;-449.418426513672
284;-3600.41259765625;12659114;788.6455078125
284.5;-7199.751953125;5618424;2054.27294921875
285;-10002.818359375;-2400150.5;3200.86376953125
285.5;-11702.1923828125;-10392167;4055.55688476563
286;-12118.646484375;-17245374;4439.599609375
286.5;-11215.841796875;-21944772;4208.599609375
287;-9081.2412109375;-23794424;3303.74731445313
287.5;-5936.607421875;-22589316;1793.94848632813
288;-2089.04931640625;-18685016;-111.94287109375
288.5;2072.48803710938;-12929764;-2091.11059570313
289;6106.3857421875;-6472081;-3772.21850585938
289.5;9542.08984375;-495122;-4821.865234375
290;11930.96875;4049022;-5029.1064453125
290.5;12887.443359375;6629140;-4363.3330078125
291;12176.791015625;7202056;-2986.08447265625
291.5;9769.1474609375;6143458;-1212.87878417969
292;5883.736328125;4084623.5;565.59130859375
292.5;988.367919921875;1712966.5;1982.22900390625
293;-4245.43017578125;-394602.25;2783.6572265625
293.5;-9044.3486328125;-1865712;2887.00634765625
294;-12656.1220703125;-2533294;2383.78930664063
294.5;-14483.80078125;-2379450;1493.59887695313
295;-14202.40625;-1457468.5;484.52197265625
295.5;-11802.591796875;159407;-408.657592773438
296;-7603.14453125;2380033;-1041.07043457031
296.5;-2196.27270507813;5057104;-1372.55834960938
297;3647.79663085938;7937112;-1446.232421875
297.5;9099.369140625;10635532;-1339.94213867188
298;13390.259765625;12673352;-1121.91271972656
298.5;15907.705078125;13569756;-823.735412597656
299;16282.6025390625;12970444;-440.375793457031
299.5;14428.224609375;10763716;43.1301879882813
300;10548.671875;7140847;616.341674804688
300.5;5128.71875;2576755;1213.68237304688
301;-1128.22839355469;-2275895.25;1715.20153808594
301.5;-7377.54638671875;-6734998;1978.24060058594
302;-12744.6484375;-10239460;1892.23400878906
302.5;-16447.68359375;-12449800;1432.99487304688
303;-17920.31640625;-13276056;687.974609375
303.5;-16904.44140625;-12831310;-163.78466796875
304;-13511.4423828125;-11346648;-910.76611328125
304.5;-8209.236328125;-9082674;-1384.1923828125
305;-1759.99206542969;-6281847;-1516.93383789063
305.5;4901.74462890625;-3168263.75;-1361.93872070313
306;10813.2236328125;11487.875;-1061.37524414063
306.5;15135.384765625;2947411;-782.290649414063
307;17284.1640625;5257977;-642.566162109375
307.5;17002.8671875;6543436;-661.013916015625
308;14384.955078125;6493932;-751.271362304688
308.5;9838.001953125;5015567;-765.185791015625
309;4016.18188476563;2325188.25;-568.044067382813
309.5;-2285.1826171875;-1034894.75;-114.441528320313
310;-8234.3359375;-4287935;514.141174316406
310.5;-13053.2978515625;-6605726;1128.77905273438
311;-16109.28125;-7327929;1505.43054199219
311.5;-16983.9296875;-6156332;1478.06115722656
312;-15532.42578125;-3250072.5;1013.12347412109
312.5;-11907.126953125;803634.25;228.963317871094
313;-6555.80859375;5144420.5;-645.609313964844
313.5;-182.31201171875;8863895;-1354.90954589844
314;6335.18896484375;11232044;-1702.73107910156
314.5;12066.654296875;11863646;-1611.83447265625
315;16161.197265625;10768316;-1134.11901855469
315.5;17991.962890625;8295458;-419.977661132813
316;17260.560546875;4998589;337.821594238281
316.5;14051.4638671875;1472751.25;962.784912109375
317;8828.017578125;-1774636;1338.91906738281
317.5;2351.88720703125;-4395948.5;1431.09033203125
318;-4434.37158203125;-6207059;1278.10327148438
318.5;-10560.2998046875;-7150633;964.62158203125
319;-15169.9677734375;-7249951;583.621826171875
319.5;-17647.09375;-6581350;204.458251953125
320;-17682.25;-5276133;-140.465087890625
320.5;-15312.439453125;-3540558.5;-446.29052734375
321;-10889.2197265625;-1662547;-715.405151367188
321.5;-5031.77490234375;13290;-934.685546875
322;1457.88549804688;1152369.25;-1066.755859375
322.5;7702.294921875;1526775.25;-1060.76037597656
323;12850.724609375;1102771.75;-876.803100585938
323.5;16196.390625;79238.90625;-515.798828125
324;17270.837890625;-1146030;-39.3134460449219
324.5;15919.0361328125;-2090389;431.704162597656
325;12333.1376953125;-2340631;748.135681152344
325.5;7035.7890625;-1701559;785.541137695313
