Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
223;4230241;468282;-833535.5625
223.5;5607013;1012233;-798064.625
224;6763384;1150708;-535759.625
224.5;7875568.5;862717.25;-102636.3046875
225;9027399;260367.125;395195.21875
225.5;10135526;-444088.75;827327.625
226;10927537;-1004849;1072581.5
226.5;10987195;-1213882;1051478.25
227;9862979;-968429.5;748947
227.5;7213665;-305092;221487.5625
228;2954200;604555.5;-413006.625
228.5;-2642335.5;1499565;-1000983.75
229;-8920974;2101971;-1389834.125
229.5;-14918921;2198373.75;-1467995.875
230;-19528966;1704745.75;-1198160.5
230.5;-21723420;697079;-632392.375
231;-20788176;-600625;98466.28125
231.5;-16515329;-1870851.5;820199.1875
232;-9303361;-2784851.5;1363683.75
232.5;-137496.640625;-3087926.5;1609042.5
233;9554314;-2670456;1510938.625
233.5;18144864;-1602078;1100368.5
234;24103908;-120480.75;469200.5
234.5;26287622;1425335.5;-252902.5
235;24161840;2661634;-922492.5625
235.5;17914560;3286165;-1406531.75
236;8434822;3145494;-1608167
236.5;-2835255.25;2275026;-1491290.125
237;-14144168;889281.5;-1095177.125
237.5;-23723388;-673458;-528512.4375
238;-30071896;-2036953.25;61223
238.5;-32184304;-2882278;534353.5
239;-29687068;-3025344.5;803217.1875
239.5;-22867656;-2460385.75;854396.6875
240;-12602844;-1356991;740450.375
240.5;-209724.8125;-11833.25;547884.25
241;12749946;1230514.25;358895.90625
241.5;24673914;2068175;224105.96875
242;34106296;2318884.5;154435.5625
242.5;39887244;1963566.75;129316.21875
243;41257880;1145664;111641.125
243.5;37923640;125930.5;61752.875
244;30079468;-792987;-52333.21875
244.5;18403572;-1352409;-246427.96875
245;4017264.5;-1408614;-511392.25
245.5;-11590718;-970129;-805737.75
246;-26686140;-190785.5;-1055991.5
246.5;-39457176;677298.25;-1171115.125
247;-48222928;1357736.875;-1071827.875
247.5;-51662400;1629356;-725237.3125
248;-49032812;1388615.5;-169098.25
248.5;-40335408;679758;488863.0625
249;-26389600;-316344;1099061.25
249.5;-8788755;-1331423.5;1514889.625
250;10273208;-2083329.25;1634942.875
250.5;28288708;-2354161;1427221.875
251;42798608;-2052006;930548.8125
251.5;51769664;-1238591.75;240057.0625
252;53925032;-114561;-513691
252.5;48962944;1032822.75;-1185400.25
253;37621908;1909397.5;-1636402.75
253.5;21573798;2293422.25;-1760228
254;3161608.5;2095707.5;-1511415
254.5;-14974619;1382639;-929055.625
255;-30316532;357338.5;-140541.625
255.5;-40855304;-695804.75;664657.25
256;-45382224;-1488264;1288391
256.5;-43633552;-1804841;1584718.25
257;-36270208;-1563870;1502527.75
257.5;-24707020;-840499;1092835.25
258;-10833106;152444.5;481645.3125
258.5;3318990.5;1120911;-175151.09375
259;15890471;1770940;-733806.625
259.5;25446732;1891842;-1090617.125
260;31126372;1417420.5;-1193876.5
260.5;32677306;449022;-1045869.125
261;30393924;-767921.25;-698992.8125
261.5;24984142;-1906753.875;-245255.90625
262;17406126;-2647606.5;202245.171875
262.5;8707001;-2763169;536872.9375
263;-106403.6875;-2182073.5;687801.375
263.5;-8155615;-1012197;641212.5625
264;-14738052;482831;443743.8125
264.5;-19346736;1948028.75;184970.03125
265;-21677024;3025670.75;-35644.21875
265.5;-21633210;3446627.25;-144475.1875
266;-19335582;3098843;-118778.5
266.5;-15125716;2056896.75;8615.390625
267;-9555147;563377;165451.984375
267.5;-3346041.5;-1032245.3125;269188.0625
268;2682950.5;-2361534.5;257432.21875
268.5;7724389;-3129188.75;108234.84375
269;11107188;-3184390;-154049.703125
269.5;12416855;-2554163.5;-466744.09375
270;11581679;-1430158.25;-745505.875
270.5;8901946;-112962.5;-904962.75
271;5007911;1067910;-879804.75
271.5;747438.9375;1841298;-643783.125
272;-2976618;2059219.5;-222327.390625
272.5;-5387431;1730119.5;306059.09375
273;-5996050;1007035.5;824049.625
273.5;-4706166.5;137556.0625;1204454.625
274;-1834375.875;-605969;1345430.125
274.5;1957666.125;-1006127.5;1201099.5
275;5809255;-959804.5;795901.375
275.5;8851138;-504721.5;219538.15625
276;10397838;194225.5;-395391.75
276.5;10095610;895623.75;-905505.4375
277;7992682;1354741.75;-1190778.25
277.5;4515256.5;1397481.625;-1183422.75
278;355231.90625;974199.5;-886077.75
278.5;-3698011;177513.875;-373995.9375
279;-6943086;-781252.25;221340.5625
279.5;-8921247;-1629877.5;745172.125
280;-9502928;-2112157;1060793.625
280.5;-8887991;-2063761;1086509.375
281;-7521872.5;-1460779.5;817039.75
281.5;-5952726;-435156.875;323045.875
